make,model,year_from,year_to,engine_code,oil_filter_oem,oil_filter_mann,oil_filter_filtron,air_filter_oem,air_filter_mann,air_filter_filtron,cabin_filter_oem,cabin_filter_mann,cabin_filter_filtron
Cupra,Formentor,2020,2024,CZPA,06L 115 562,HU 6013 z,OE 688/3,5Q0 129 620 B,C 26 009,AP 139/3,5Q0 819 653,CUK 26 009,K 1311A
Audi,A3,2013,2024,CZDA,04E 115 561 H,W 712/95,OP 641/2,5Q0 129 620 B,C 26 009,AP 139/3,5Q0 819 653,CUK 26 009,K 1311A
Audi,A4,2016,2024,CZDA,04E 115 561 H,W 712/95,OP 641/2,8W0 133 843,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A
Audi,Q3,2019,2024,DKRF,04E 115 561 H,W 712/95,OP 641/2,04C 129 620 C,C 25 070,AP 139/5,5Q0 819 653,CUK 26 009,K 1311A
Audi,Q5,2017,2024,CZPA,06L 115 562,HU 6013 z,OE 688/3,8W0 133 843,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A
Dacia,Sandero,2013,2024,H4M,152095084R,W 75/3,OP 575/3,165461599R,C 1858/2,AP 058/6,272772835R,CU 22 011,K 1350
Dacia,Duster,2013,2024,H5H,152095084R,W 75/3,OP 575/3,165468187R,C 22 020,AP 058/7,272772835R,CU 22 011,K 1350
Opel,Corsa,2015,2019,B14XEL,55594651,W 712/95,OP 641/2,55560894,C 25 056,AP 139/4,13356914,CUK 26 010,K 1311
Opel,Corsa,2020,2024,EB2ADTS,9818914980,HU 7033 z,OE 682/6,9818479180,C 22 020,AP 058/7,9809647380,CUK 26 010,K 1311
Opel,Astra,2016,2021,B14XFL,55594651,W 712/95,OP 641/2,13372460,C 28 030,AP 139/2,13356914,CUK 26 010,K 1311
Opel,Astra,2022,2024,EB2ADTS,9818914980,HU 7033 z,OE 682/6,9818479180,C 22 020,AP 058/7,9809647380,CUK 26 010,K 1311
Opel,Crossland,2017,2024,EB2ADTS,9818914980,HU 7033 z,OE 682/6,9818479180,C 22 020,AP 058/7,9809647380,CUK 26 010,K 1311
Opel,Mokka,2021,2024,EB2ADTS,9818914980,HU 7033 z,OE 682/6,9818479180,C 22 020,AP 058/7,9809647380,CUK 26 010,K 1311
Volvo,XC40,2018,2024,B4204T47,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31390880,CUK 2939,K 1350A
Volvo,XC60,2018,2024,B4204T23,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31390880,CUK 2939,K 1350A
Volvo,V40,2013,2019,B4204T11,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31390880,CUK 2939,K 1350A
MINI,Cooper,2014,2024,B38A15,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432
MINI,Cooper,2014,2024,B48A20,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432
MINI,Countryman,2017,2024,B48A20,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432
Jeep,Renegade,2015,2024,55263624,55223416,W 712/22,OP 575/3,52081805,C 25 040,AP 058/5,77367456,CUK 22 011,K 1350A
Jeep,Compass,2017,2024,55263624,55223416,W 712/22,OP 575/3,52081805,C 25 040,AP 058/5,77367456,CUK 22 011,K 1350A
Chery,Tiggo 4 Pro,2020,2024,SQRE4T15C,E4T15-1012010,W 811/80,OP 617,E4T15-1109111,C 27 021,AP 177/7,T11-8107910,CU 22 011,K 1350
Chery,Tiggo 7 Pro,2020,2024,SQRF4J16,F4J16-1012010,W 811/80,OP 617,F4J16-1109111,C 27 021,AP 177/7,T11-8107910,CU 22 011,K 1350
Chery,Tiggo 8 Pro,2020,2024,SQRF4J16,F4J16-1012010,W 811/80,OP 617,F4J16-1109111,C 27 021,AP 177/7,T11-8107910,CU 22 011,K 1350
Geely,Coolray,2020,2024,JLH-3G15TD,1016050811,W 811/80,OP 617,1016012681,C 27 021,AP 177/7,8022003200,CU 22 011,K 1350
Geely,Atlas,2020,2024,JLD-4G20,1016050811,W 811/80,OP 617,1016012681,C 30 017,AP 035/5,8022003200,CU 22 011,K 1350
